Tournament,Stage,Match Type,Map,Team,Composition,Winrate,Total Maps Played
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,Cloud9,"jett,kayo,killjoy,omen,sova",0.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,Evil Geniuses,"cypher,jett,kayo,omen,sova",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,FURIA,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,G2 Esports,"cypher,jett,kayo,omen,viper",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,KRÜ Esports,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,LEVIATÁN,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,LOUD,"breach,kayo,omen,phoenix,viper",0.6667,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,MIBR,"cypher,jett,omen,skye,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,NRG Esports,"jett,kayo,killjoy,omen,sova",1.0,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,Sentinels,"jett,kayo,killjoy,omen,sova",0.3333,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,100 Thieves,"brimstone,fade,gekko,raze,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,Cloud9,"brimstone,raze,skye,viper,yoru",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,LEVIATÁN,"gekko,harbor,raze,skye,viper",0.6667,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,LOUD,"breach,brimstone,kayo,phoenix,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,MIBR,"brimstone,jett,raze,skye,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,Sentinels,"brimstone,raze,skye,viper,yoru",0.3333,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,FURIA,"cypher,jett,kayo,sova,viper",0.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,G2 Esports,"cypher,harbor,sova,viper,yoru",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,LEVIATÁN,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,MIBR,"cypher,jett,kayo,sova,viper",1.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,NRG Esports,"cypher,jett,kayo,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,Sentinels,"cypher,jett,kayo,sova,viper",0.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,100 Thieves,"gekko,jett,killjoy,sova,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,Evil Geniuses,"deadlock,gekko,kayo,killjoy,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,G2 Esports,"brimstone,jett,killjoy,sova,viper",0.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,KRÜ Esports,"jett,kayo,killjoy,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,LEVIATÁN,"harbor,killjoy,reyna,sova,viper",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,LOUD,"harbor,jett,killjoy,sova,viper",1.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,Sentinels,"gekko,jett,kayo,killjoy,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,100 Thieves,"chamber,fade,omen,raze,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,Cloud9,"fade,gekko,killjoy,omen,raze",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,LOUD,"breach,omen,phoenix,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,MIBR,"killjoy,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,Sentinels,"fade,killjoy,omen,raze,viper",1.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,100 Thieves,"astra,fade,gekko,raze,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,Cloud9,"astra,killjoy,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,FURIA,"astra,jett,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,G2 Esports,"breach,cypher,omen,raze,viper",1.0,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,KRÜ Esports,"astra,jett,kayo,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,LEVIATÁN,"astra,jett,raze,skye,viper",0.0,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,LOUD,"breach,omen,raze,skye,viper",0.6667,3
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,MIBR,"astra,jett,raze,skye,viper",0.5,4
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,NRG Esports,"breach,omen,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,Sentinels,"cypher,omen,raze,skye,viper",0.7143,7
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,Cloud9,"omen,raze,skye,viper,yoru",0.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,Evil Geniuses,"breach,cypher,fade,omen,raze",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,G2 Esports,"cypher,omen,raze,sova,viper",0.4,5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,KRÜ Esports,"chamber,fade,kayo,omen,viper",0.0,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,LOUD,"breach,omen,phoenix,sova,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,MIBR,"cypher,omen,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,NRG Esports,"cypher,jett,omen,skye,viper",0.5,2
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,Sentinels,"cypher,gekko,kayo,omen,raze",1.0,3
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Ascent,Cloud9,"jett,kayo,killjoy,omen,sova",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Ascent,MIBR,"cypher,jett,omen,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Bind,Cloud9,"brimstone,raze,skye,viper,yoru",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Bind,MIBR,"brimstone,kayo,raze,skye,viper",1.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Bind,LEVIATÁN,"gekko,harbor,raze,skye,viper",0.0,1
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Bind,Sentinels,"brimstone,raze,skye,viper,yoru",1.0,1
