Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played,Year,Winrate
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,100 Thieves,"['viper', 'raze', 'gekko', 'brimstone', 'fade']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,100 Thieves,"['viper', 'jett', 'sova', 'killjoy', 'gekko']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,100 Thieves,"['viper', 'omen', 'raze', 'fade', 'chamber']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,100 Thieves,"['viper', 'raze', 'gekko', 'fade', 'astra']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,Cloud9,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",0,2,2,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Bind,Cloud9,"['viper', 'raze', 'skye', 'brimstone', 'yoru']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Lotus,Cloud9,"['omen', 'raze', 'killjoy', 'gekko', 'fade']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,Cloud9,"['viper', 'raze', 'skye', 'killjoy', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,Cloud9,"['viper', 'omen', 'raze', 'skye', 'yoru']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,Evil Geniuses,"['omen', 'jett', 'cypher', 'kayo', 'sova']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,Evil Geniuses,"['viper', 'kayo', 'killjoy', 'gekko', 'deadlock']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,Evil Geniuses,"['omen', 'raze', 'cypher', 'breach', 'fade']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,FURIA,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,FURIA,"['viper', 'jett', 'cypher', 'kayo', 'sova']",0,2,2,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,FURIA,"['viper', 'raze', 'jett', 'skye', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,G2 Esports,"['viper', 'omen', 'jett', 'cypher', 'kayo']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Breeze,G2 Esports,"['viper', 'cypher', 'sova', 'harbor', 'yoru']",1,1,2,2024,0.5
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,G2 Esports,"['viper', 'jett', 'sova', 'killjoy', 'brimstone']",0,2,2,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,G2 Esports,"['viper', 'omen', 'raze', 'cypher', 'breach']",3,0,3,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,G2 Esports,"['viper', 'omen', 'raze', 'cypher', 'sova']",2,3,5,2024,0.4
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Ascent,KRÜ Esports,"['omen', 'jett', 'kayo', 'sova', 'killjoy']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Icebox,KRÜ Esports,"['viper', 'jett', 'kayo', 'sova', 'killjoy']",1,0,1,2024,1.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Split,KRÜ Esports,"['viper', 'jett', 'skye', 'kayo', 'astra']",0,1,1,2024,0.0
Champions Tour 2024: Americas Kickoff,All Stages,All Match Types,Sunset,KRÜ Esports,"['viper', 'omen', 'kayo', 'fade', 'chamber']",0,2,2,2024,0.0
